0.1,0,0,1.2782,3.14,2.0749,0.18674,0.71429,yes,under damped 
1,0,0,0.31085,0.72,1.7517,23.658,0.53488,yes,under damped 
5,0,0,0.11853,0.32,1.9438,53.1308,0.50739,yes,under damped 
10,0,0,0.080418,0.22,1.8391,64.009,0.50372,yes,under damped 
20,0,0,0.055349,0.16,1.9129,72.9028,0.50187,yes,under damped 
100,0,0,0.023643,0.07,1.9069,86.8835,0.50037,yes,under damped 
1000,0,0,0.0094187,0.02,1.9111,90.9852,0.50004,yes,under damped 
1,1,0,0.30613,0.75,2.4798,32.6704,0.5,yes,critically damped
1,2,0,0.27222,0.73,3.9047,53.3005,0.5,yes,critically damped
1,4,0,0.25795,0.68,9.9538,59.4931,0.5,yes,critically damped
1,10,0,2.2012,9.86,9.9947,53.4911,1,no,unstable system
1,100,0,0.50075,10,9.9973,0,1,no,unstable system
1,1000,0,0.034957,9.97,9.9993,69.3123,1,no,unstable system
1,10000,0,0.11136,9.98,9.9997,535.9563,1,no,unstable system
1,0,0.01,0.31755,0.72,1.7358,21.6757,0.53488,yes,under damped 
1,0,0.1,0.34394,0.71,1.1379,9.4766,0.53488,yes,under damped 
1,0,0.3,0.29958,0.88,0.49443,0.31753,0.53488,yes,critically damped 
1,0,0.5,0.21611,10,0.58746,0,0.53488,yes,critically damped 
1,0,1,0.095259,1.79,0.1701,4.4409e-14,0.53488,yes,critically damped 
1,0,10,0.0084919,0.05,6.3926,8.2487,0.53488,yes,critically damped 
1,0,100,0.0078885,0.01,0.0096634,1.4138,0.53488,yes,critically damped 
1,0.5,0.1,0.40003,0.76,2.4592,4.6874,0.5,yes,critically damped
1,1,0.1,0.36528,0.78,1.3153,13.46,0.5,yes,critically damped
1,5,0.1,0.25726,0.67,9.6896,63.0749,0.5,yes,under damped
1,0.5,0.5,0.78283,10,2.7505,0,0.5,yes,critically damped
1,0.5,1.5,1.0999,7.73,4.4872,0.36624,0.5,yes,under damped
1,0.5,5,0.026367,10,7.9882,0,0.5,yes,under damped
1,0,100,0.0078885,0.01,0.0096634,1.4138,0.53488,yes,critically damped

